"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Columbus, OH",31,,,,,,,,,,,,,,,,,1430,1445,1500,1450,1400,1500,1595,1600,1599,1542.5,1595,1550,1595,1500,1512.5,1396,1400,1400,1400,1350,1360,1350,1486,1550,1547.5,1395,1412.5,1595,1585,1500,1500,1400,1400,1400,1400,1575,1650,1624.5,1650,1595,1600,1650,1550,1595,1650,1695,1675,1775,1700,1675,1695,1695,1650,1725,1650,1650,1700,1800,1800,1800,1750,1700,1695,1880,1762.5,1795,1785,1900,1780,1800,1800,1800,1750,1775,1725,1750,1800,1745,1695,1687.5,1695,1699,1750,1800,1800,1750,1800,1948,1920,1800,1800,1800
"Indianapolis, IN",32,,,,,,,,,,,,,,,,,,,1375,1295,1250,1295,1350,1495,1495,1395,1300,1232.5,1250,1300,1300,1300,1250,1200,1195,1162.5,1200,1212.5,1200,1250,1250,1300,1312.5,1300,1300,1275,1300,1299,1250,1250,1275,1350,1325,1350,1350,1300,1295,1295,1275,1295,1275,1295,1300,1295,1295,1295,1300,1300,1300,1300,1295,1300,1312.5,1350,1350,1350,1325,1332,1395,1325,1350,1309,1300,1325,1326,1362.5,1395,1400,1425,1425,1400,1395,1395,1350,1325,1340,1395,1445,1475,1485,1447.5,1450,1450,1445,1395,1390,1390,1395
"San Jose, CA",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2750,2700,2700,2750,2740,2925,2850,2800,2750,2750,2900,2962.5,2990,3295,3200,3450,3300,3199.5,3395,3172.5,3172.5,3100,3200,3695,3750,3700,3700,3700,3695,3700,3587.5,3700,3800,3794.5,3866,3995,4150,4250,4200,4072.5,4000,3995,3997.5,4150,4195,4000,3995,4000,4200,4025,4200,4095,4000,3850,3900,3895,3970,3995,3950,4296.5,4200,4222,4100,4000,4000,3995,4000,4000,4000,4000,4100,4300,4349,4349,4250,4200,4191.5,4100,4125,4095
"Austin, TX",34,,,,,,,,,,,,1800,1700,1700,1925,1872.5,1800,1795,1672.5,1692.5,1650,1600,1600,1750,1795,1950,1926,1825,1950,1815,1795,1700,1550,1600,1697.5,1500,1700,1699,1700,1800,1875,1900,1846.5,1910,1800,1800,1800,1800,1910,1895,1910,2000,2009,1997.5,2100,2125,2150,2100,2100,1975,1902.5,1995,2200,2250,2200,2172.5,2285,2300,2300,2495,2500,2545,2297.5,2350,2350,2250,2195,2150,2072.5,2000,1995,2195,2100,2101,2100,2195,2200,2250,2100,2095,2095,2092.5,2026,2000,1995,1975,1999.5,2000,2126,2200,2195,2195,2095,2142,2100,2150,2120,2108
"Virginia Beach, VA",35,,,,,,,,,,,,,1695,1700,1750,1795,1750,1750,1700,1675,1695,1650,1650,1625,1625,1695,1700,1700,1750,1725,1700,1695,1650,1650,1650,1650,1695,1700,1700,1750,1700,1745,1700,1695,1695,1692.5,1650,1650,1650,1650,1675,1750,1795,1750,1750,1700,1695,1675,1695,1700,1700,1700,1750,1795,1797,1795,1750,1700,1695,1675,1695,1695,1695,1700,1735,1750,1750,1750,1750,1700,1695,1695,1749.5,1700,1700,1745,1750,1750,1785,1795,1750,1725,1750,1750,1720,1700,1790,1775,1800,1800,1800,1800,1800,1795,1795,1750,1750,1750
"Nashville, TN",36,,,,,,,,,,,,,,,,1566.5,1672.5,1525,1600,1500,1495,1500,1600,1700,1597.5,1625,1750,1700,1672.5,1600,1500,1550,1580,1597.5,1597.5,1600,1700,1650,1800,1652.5,1797.5,1700,1700,1725,1697.5,1637.5,1600,1650,1500,1500,1575,1800,1897.5,1850,1800,1800,1650,1750,1800,1825,1800,1750,1900,1950,2000,2000,1899,1850,1875,1800,1800,1895,1800,2025,1897.5,1995,1975,1995,1995,1895,1800,1825,1862.5,1900,1950,1850,1875,1975,1975,1995,1995,1950,1995,1992.5,1925,1900,1890,1895,1895,1900,1895,1950,1950,1847.5,1800,1800,1800,1822.5
"Providence, RI",37,,,,,,,,,,,,,,,,,,,,2000,2000,2000,1900,2000,1987.5,1950,2000,2000,1997.5,1995,2000,1900,2000,1900,2100,2000,2100,2100,2000,2000,2000,2000,1875,1862.5,1880,1950,1900,1800,1895,1800,1897,2000,1950,1800,1800,1800,1895,1900,1900,2000,2000,2000,2000,2000,2000,2000,1950,1900,2000,2000,2000,2200,2200,2125,2200,2000,2000,2000,1950,2000,2000,2200,2200,2015,2250,2300,2200,2250,2200,2300,2262.5,2300,2300,2250,2300,2300,2212.5,2280,2300,2400,2200,2200,2200,2200,2250,2262.5,2250,2250
"Milwaukee, WI",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1125,1250,1285,1100,1175,1050,990,900,995,1085,1000,1120,1200,1200,1297.5,1195,1200,1150,1095,1050,1045,999,1000,1095,1050,1100,1195,1195,1195,1095,1095,1095,1100,1100,1195,1250
"Jacksonville, FL",39,,1500,1497.5,1450,1495,1400,1400,1400,1410,1385,1495,1425,1400,1400,1450,1500,1472.5,1495,1450,1412.5,1400,1425,1300,1347,1400,1400,1400,1400,1400,1425,1350,1392.5,1350,1355,1350,1325,1350,1400,1400,1450,1450,1450,1475,1475,1495,1500,1475,1450,1425,1450,1450,1450,1450,1475,1441,1400,1400,1400,1399,1400,1400,1402.5,1450,1460,1500,1499,1475,1450,1435,1450,1450,1470,1500,1500,1545,1575,1550,1550,1545,1500,1495,1495,1495,1495,1495,1550,1625,1650,1665,1650,1650,1650,1650,1650,1600,1600,1600,1675,1700,1750,1700,1695,1650,1645,1600,1600,1625,1600
"Memphis, TN",40,,,,,,,,,,,,1500,1500,1485,1497.5,1572.5,1485,1425,1350,1315,1345,1422.5,1497.5,1495,1450,1500,1395,1400,1550,1495,1395,1397.5,1350,1412.5,1250,1250,1197.5,1225,1135,1095,1167.5,1195,1250,1095,1095,1175,1295,1250,1150,1175,1175,1242.5,1242.5,1250,1250,1150,1175,1250,1295,1275,1295,1295,1295,1295,1295,1350,1350,1295,1225,1250,1250,1195,1195,1250,1250,1295,1250,1329,1295,1295,1250,1200,1295,1250,1250,1225,1195,1200,1225,1225,1200,1195,1150,1175,1200,1200,1262.5,1285,1350,1365,1435,1400,1350,1375,1295,1272.5,1250,1250
"Oklahoma City, OK",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1497.5,1300,1497,1499,1395,1362.5,1497.5,1495,1500,1500,1595,1520,1500,1500,1500,1595,1595,1498.5,1495,1495,1475,1495,1495,1500,1545,1525,1595,1512.5,1495,1495,1545,1525,1550,1550,1525,1500,1545,1495,1495,1450,1495,1500,1512.5,1500,1500,1495,1495,1495,1495,1425,1395,1412.5,1395,1450,1475,1450,1425,1445,1450,1495,1450,1400,1395,1395,1395,1400,1395,1450,1495,1495,1475,1495,1495,1450,1445,1445,1425,1450
"Louisville-Jefferson County, KY",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1747.5,1700,1797.5,1770,1795,1750,1650,1650,1600,1522.5,1600,1647.5,1472.5,1500,1597.5,1625,1695,1800,1625,1572.5,1675,1625,1650,1450,1695
